                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6538,                 2.5501,                 1.4112,                0.66725,                 0.3254,                0.18627,                0.11206,                 1.6769,                 9.6754,                 1.4829,                0.09005,                  5e-05,                  5e-05
                      2,                 1.3088,                 1.4708,                 1.2086,                0.48232,                0.51429,                0.50875,                0.30387,                 1.5949,                  3.589,                 1.4244,               0.079104,             0.00010396,             0.00010396
                      3,                 1.2724,                 1.3324,                 1.1746,                 0.3986,                0.62698,                0.57457,                0.33829,                 1.5581,                 4.2269,                 1.4925,               0.068157,             0.00015683,             0.00015683
                      4,                 1.1647,                 1.1474,                  1.102,                0.57397,                0.73312,                0.72134,                 0.4319,                 1.5135,                 2.4334,                 1.4403,               0.057209,             0.00020861,             0.00020861
                      5,                 1.0959,                 1.0341,                 1.0699,                0.77366,                0.66374,                 0.7512,                0.43279,                 1.5305,                 1.8846,                 1.4474,               0.046259,             0.00025931,             0.00025931
                      6,                 1.0773,                0.95128,                 1.0761,                0.74016,                0.68611,                0.82011,                0.55022,                 1.2066,                 1.9856,                 1.1619,               0.035309,             0.00030891,             0.00030891
                      7,                  1.116,                0.92526,                 1.0681,                0.81341,                0.79371,                0.86126,                0.53473,                 1.3398,                0.97225,                 1.2609,               0.024357,             0.00035743,             0.00035743
                      8,                 1.0618,                0.87076,                 1.0494,                 0.8704,                0.75437,                 0.8677,                0.52688,                 1.1529,                0.91643,                 1.1743,               0.013405,             0.00040485,             0.00040485
                      9,                 1.0111,                0.83997,                 1.0723,                0.82823,                0.75983,                0.83943,                0.52429,                  1.281,                0.96775,                 1.2295,              0.0024512,             0.00045119,             0.00045119
                     10,                 1.0307,                0.82241,                 1.0372,                0.88221,                0.75737,                0.88255,                0.56973,                 1.2179,                0.92852,                 1.2039,             0.00045545,             0.00045545,             0.00045545
